phase,epoch,step,loss,lr
full,1,1,1.926708,1.8518518518518518e-07
full,1,2,1.882957,3.7037037037037036e-07
full,1,3,2.003801,5.555555555555555e-07
full,1,4,1.934751,7.407407407407407e-07
full,1,5,1.948233,9.259259259259259e-07
full,1,6,1.990962,1.111111111111111e-06
full,1,7,1.986873,1.2962962962962962e-06
full,1,8,1.984925,1.4814814814814815e-06
full,1,9,1.935035,1.6666666666666667e-06
full,1,10,1.96798,1.8518518518518519e-06
full,1,11,1.985651,2.037037037037037e-06
full,1,12,1.900396,2.222222222222222e-06
full,1,13,1.968525,2.4074074074074075e-06
full,1,14,1.886336,2.5925925925925925e-06
full,1,15,1.956105,2.7777777777777783e-06
full,1,16,1.9123,2.962962962962963e-06
full,1,17,1.949625,3.1481481481481483e-06
full,1,18,1.831404,3.3333333333333333e-06
full,1,19,1.957629,3.5185185185185187e-06
full,1,20,1.972069,3.7037037037037037e-06
full,1,21,1.912919,3.88888888888889e-06
full,1,22,1.910253,4.074074074074074e-06
full,1,23,1.870897,4.2592592592592596e-06
full,1,24,1.883487,4.444444444444444e-06
full,1,25,1.883766,4.62962962962963e-06
full,1,26,1.895587,4.814814814814815e-06
full,1,27,1.916812,5e-06
full,1,28,1.857548,5.185185185185185e-06
full,1,29,1.862444,5.370370370370371e-06
full,1,30,1.904727,5.555555555555557e-06
full,1,31,1.865159,5.740740740740741e-06
full,1,32,1.850471,5.925925925925926e-06
full,1,33,1.904811,6.111111111111112e-06
full,1,34,1.751141,6.296296296296297e-06
full,1,35,1.781224,6.481481481481482e-06
full,1,36,1.754136,6.666666666666667e-06
full,1,37,1.722354,6.851851851851853e-06
full,1,38,1.715513,7.0370370370370375e-06
full,1,39,1.699407,7.222222222222223e-06
full,1,40,1.459327,7.4074074074074075e-06
full,1,41,1.515101,7.592592592592594e-06
full,1,42,1.593555,7.77777777777778e-06
full,1,43,1.609361,7.962962962962963e-06
full,1,44,1.535449,8.148148148148148e-06
full,1,45,1.69279,8.333333333333334e-06
full,1,46,1.752633,8.518518518518519e-06
full,1,47,1.700064,8.703703703703705e-06
full,1,48,1.645834,8.888888888888888e-06
full,1,49,1.41821,9.074074074074075e-06
full,1,50,1.948813,9.25925925925926e-06
full,1,51,1.712667,9.444444444444445e-06
full,1,52,1.890429,9.62962962962963e-06
full,1,53,1.55573,9.814814814814815e-06
full,1,54,1.756665,1e-05
full,1,55,1.667392,1.0185185185185186e-05
full,1,56,1.630408,1.037037037037037e-05
full,1,57,1.48231,1.0555555555555557e-05
full,1,58,1.480848,1.0740740740740742e-05
full,1,59,1.591865,1.0925925925925926e-05
full,1,60,1.531832,1.1111111111111113e-05
full,1,61,1.784032,1.1296296296296297e-05
full,1,62,1.574167,1.1481481481481482e-05
full,1,63,1.710709,1.1666666666666668e-05
full,1,64,1.814665,1.1851851851851852e-05
full,1,65,1.57504,1.2037037037037039e-05
full,1,66,1.566618,1.2222222222222224e-05
full,1,67,1.942857,1.2407407407407408e-05
full,1,68,1.829837,1.2592592592592593e-05
full,1,69,1.364723,1.2777777777777777e-05
full,1,70,1.718357,1.2962962962962964e-05
full,1,71,1.21491,1.314814814814815e-05
full,1,72,1.672325,1.3333333333333333e-05
full,1,73,1.398829,1.351851851851852e-05
full,1,74,1.27575,1.3703703703703706e-05
full,1,75,1.614137,1.388888888888889e-05
full,1,76,1.367493,1.4074074074074075e-05
full,1,77,1.56603,1.4259259259259259e-05
full,1,78,1.386838,1.4444444444444446e-05
full,1,79,1.60868,1.4629629629629631e-05
full,1,80,1.951705,1.4814814814814815e-05
full,1,81,1.880235,1.5000000000000002e-05
full,1,82,1.345385,1.5185185185185187e-05
full,1,83,1.202743,1.537037037037037e-05
full,1,84,1.533467,1.555555555555556e-05
full,1,85,1.410927,1.5740740740740744e-05
full,1,86,1.716418,1.5925925925925926e-05
full,1,87,1.690028,1.6111111111111115e-05
full,1,88,1.460507,1.6296296296296297e-05
full,1,89,1.741836,1.6481481481481482e-05
full,1,90,1.627354,1.6666666666666667e-05
full,1,91,1.575327,1.6851851851851853e-05
full,1,92,1.549874,1.7037037037037038e-05
full,1,93,1.547375,1.7222222222222224e-05
full,1,94,1.79886,1.740740740740741e-05
full,1,95,1.510694,1.7592592592592595e-05
full,1,96,1.672489,1.7777777777777777e-05
full,1,97,1.97473,1.7962962962962965e-05
full,1,98,1.703205,1.814814814814815e-05
full,1,99,1.575775,1.8333333333333333e-05
full,1,100,1.540416,1.851851851851852e-05
full,1,101,1.537989,1.8703703703703707e-05
full,1,102,1.545154,1.888888888888889e-05
full,1,103,1.779933,1.9074074074074075e-05
